line,fy25_enacted_k,fy26_enacted_k,fy27_request_k,delta_k,pct_change,group,subgroup,level,footnote,notes
Colorado River Basin Marketing Fund,0,0,0,0,,Undersecretary for Energy,Power Marketing Administrations,leaf,,
"Total, Power Marketing Administrations",111540,74000,74016,16,0.02,Undersecretary for Energy,Power Marketing Administrations,subtotal,,
"Total, Undersecretary for Energy",3919049,3128412,6712386,3583974,114.56,Undersecretary for Energy,,section_total,,
Non-Defense Environmental Cleanup,342000,322371,338490,16119,5.0,Direct Reports,Environmental Management,leaf,,
Uranium Enrichment Decontamination and Decommissioning,855000,865000,854583,-10417,-1.2,Direct Reports,Environmental Management,leaf,,
Defense Environmental Cleanup,7285000,7375000,6983318,-391682,-5.31,Direct Reports,Environmental Management,leaf,,
Defense Uranium Enrichment D&D,285000,0,253000,253000,,Direct Reports,Environmental Management,leaf,,FY26 enacted = $0; FY27 restored.
"Total, Environmental Management",8767000,8562371,8429391,-132980,-1.55,Direct Reports,Environmental Management,subtotal,,
Critical Minerals and Energy Innovation,3098341,1883250,1121742,-761508,-40.44,Direct Reports,,leaf,,CMEI. Rebranded from EERE. -40% from FY26; -64% over 2 years.
"Environment, Health, Safety, and Security",231263,230463,231940,1477,0.64,Direct Reports,,leaf,,
Office of Enterprise Assessments,94154,86154,88815,2661,3.09,Direct Reports,,leaf,,
Specialized Security Activities,377000,441000,471082,30082,6.82,Direct Reports,,leaf,,
Legacy Management,196302,198208,200386,2178,1.1,Direct Reports,,leaf,,
Office of Hearings And Appeals,5499,4499,5023,524,11.65,Direct Reports,,leaf,,
Advanced Research Projects Agency - Energy,460000,350000,200292,-149708,-42.77,Direct Reports,,leaf,,ARPA-E. -43% from FY26.
Energy Information Administration,135000,135000,135370,370,0.27,Direct Reports,,leaf,,
Office of the Secretary,6642,6642,6717,75,1.13,Direct Reports,,leaf,,
Congressional & Intergovernmental Affairs,5500,5000,7032,2032,40.64,Direct Reports,,leaf,,
Office of the Chief Financial Officer,63283,62500,64325,1825,2.92,Direct Reports,,leaf,,
Chief Information Officer,219000,196862,205359,8497,4.32,Direct Reports,,leaf,,
Industrial Emission and Technology Coordination,1000,0,0,0,,Direct Reports,,leaf,,FY25 only; eliminated FY26-FY27.
Office of Management,70000,56576,110510,53934,95.33,Direct Reports,,leaf,,+95% from FY26.
Project Management,16000,10890,11000,110,1.01,Direct Reports,,leaf,,
Office of Human Capital Management,38500,30509,34264,3755,12.31,Direct Reports,,leaf,,
Office of Small & Disadvantaged Business Utilization,4800,2500,3000,500,20.0,Direct Reports,,leaf,,
General Counsel,37000,38000,41176,3176,8.36,Direct Reports,,leaf,,
Office of Policy,24950,15000,18064,3064,20.43,Direct Reports,,leaf,,
Office of Arctic Energy,0,0,2000,2000,,Direct Reports,,leaf,,New office FY27.
Public Affairs,4500,6750,7032,282,4.18,Direct Reports,,leaf,,
Office of International Affairs,31000,22000,26463,4463,20.29,Direct Reports,,leaf,,
Statutorily Required Civil Rights/EEO Functions,0,4025,0,-4025,-100.0,Direct Reports,,leaf,,Proposed to zero in FY27 after FY26 funding.
Minority Economic Impact,27685,0,0,0,,Direct Reports,,leaf,,FY25 only; eliminated FY26-FY27.
Strategic Partnership Projects,40000,40000,40000,0,0.0,Direct Reports,,leaf,,
Inspector General,86000,90000,77400,-12600,-14.0,Direct Reports,,leaf,,-14% from FY26.
Miscellaneous Revenues,-100578,-100578,-100578,0,-0.0,Direct Reports,,leaf,,Negative line: revenue receipts offsetting BA.
"Total, Direct Reports",13939841,12377621,11437805,-939816,-7.59,Direct Reports,,section_total,,
Energy Projects,0,97557,0,-97557,-100.0,Other,,leaf,,Standalone line — not part of Direct Reports or Receipts/Offsets totals. FY26 only; goes to zero FY27.
"Excess Fees and Recovery, FERC",-9000,-9000,-9000,0,-0.0,Receipts and Offsets,,leaf,,OCR rendered 'Fees' as 'Fess'.
Title XVII Loan Guar. Prog Section 1703 Negative Credit Subsidy Receipt,-15739,-157063,-355127,-198064,126.1,Receipts and Offsets,,leaf,,
UED&D Fund Offset,-285000,0,-253000,-253000,,Receipts and Offsets,,leaf,,FY26 enacted = 0.
Sale of Northeast Home Heating Oil Reserve,0,0,-100000,-100000,,Receipts and Offsets,,leaf,,New FY27 receipt from asset sale.
Repurposed IIJA Funding,0,0,-4700000,-4700000,,Receipts and Offsets,,leaf,,New FY27 offset. Reallocates to Baseload Power ($3.5B) + AIQ ($1.2B). $4.7B of the $15.2B IIJA cancellation visible here; remaining ~$10.5B is pure rescission not in this table.
"Total, Receipts and Offsets",-309739,-166063,-5417127,-5251064,3162.09,Receipts and Offsets,,section_total,,
"Total, Funding by Organization",49944151,49104527,53912977,4808450,9.79,Grand Total,,grand_total,,
